Compound.Name,Level,Classification
Glucosamine,class,Organooxygen_compounds
Glucosamine,subclass,Carbohydrates_and_carbohydrate_conjugates
Glucosamine,level 5,Monosaccharides
Glucosamine,level 6,Hexoses
Glucosamine,level 7,Hexoses
Glucosamine,level 8,Hexoses
D-Glucose_1-phosphate,kingdom,Organic_compounds
D-Glucose_1-phosphate,superclass,Organic_oxygen_compounds
D-Glucose_1-phosphate,class,Organooxygen_compounds
D-Glucose_1-phosphate,subclass,Carbohydrates_and_carbohydrate_conjugates
D-Glucose_1-phosphate,level 5,Monosaccharides
D-Glucose_1-phosphate,level 6,Monosaccharide_phosphates
D-Glucose_1-phosphate,level 7,Monosaccharide_phosphates
D-Glucose_1-phosphate,level 8,Monosaccharide_phosphates
D-Glucose_6-phosphate,kingdom,Organic_compounds
D-Glucose_6-phosphate,superclass,Organic_oxygen_compounds
D-Glucose_6-phosphate,class,Organooxygen_compounds
D-Glucose_6-phosphate,subclass,Carbohydrates_and_carbohydrate_conjugates
D-Glucose_6-phosphate,level 5,Monosaccharides
D-Glucose_6-phosphate,level 6,Monosaccharide_phosphates
D-Glucose_6-phosphate,level 7,Monosaccharide_phosphates
D-Glucose_6-phosphate,level 8,Monosaccharide_phosphates
2-O-alpha-D-Glucosylglycerol,kingdom,Organic_compounds
2-O-alpha-D-Glucosylglycerol,superclass,Lipids_and_lipid-like_molecules
2-O-alpha-D-Glucosylglycerol,class,Glycerolipids
2-O-alpha-D-Glucosylglycerol,subclass,Glycosylglycerols
2-O-alpha-D-Glucosylglycerol,level 5,Glycosylglycerols
2-O-alpha-D-Glucosylglycerol,level 6,Glycosylglycerols
2-O-alpha-D-Glucosylglycerol,level 7,Glycosylglycerols
2-O-alpha-D-Glucosylglycerol,level 8,Glycosylglycerols
L-Glutamic_acid,kingdom,Organic_compounds
L-Glutamic_acid,superclass,Organic_acids_and_derivatives
L-Glutamic_acid,class,Carboxylic_acids_and_derivatives
L-Glutamic_acid,subclass,Amino_acids_peptides_and_analogues
L-Glutamic_acid,level 5,Amino_acids_and_derivatives
L-Glutamic_acid,level 6,Alpha_amino_acids_and_derivatives
L-Glutamic_acid,level 7,Glutamic_acid_and_derivatives
L-Glutamic_acid,level 8,Glutamic_acid_and_derivatives
L-Glutamine,kingdom,Organic_compounds
L-Glutamine,superclass,Organic_acids_and_derivatives
L-Glutamine,class,Carboxylic_acids_and_derivatives
L-Glutamine,subclass,Amino_acids_peptides_and_analogues
L-Glutamine,level 5,Amino_acids_and_derivatives
L-Glutamine,level 6,Alpha_amino_acids_and_derivatives
L-Glutamine,level 7,Alpha_amino_acids
L-Glutamine,level 8,L-alpha-amino_acids
Glutathione,kingdom,Organic_compounds
Glutathione,superclass,Organic_acids_and_derivatives
Glutathione,class,Carboxylic_acids_and_derivatives
Glutathione,subclass,Amino_acids_peptides_and_analogues
Glutathione,level 5,Peptides
Glutathione,level 6,Peptides
Glutathione,level 7,Peptides
Glutathione,level 8,Peptides
Glutathione_disulfide,kingdom,Organic_compounds
Glutathione_disulfide,superclass,Organic_acids_and_derivatives
Glutathione_disulfide,class,Carboxylic_acids_and_derivatives
Glutathione_disulfide,subclass,Amino_acids_peptides_and_analogues
Glutathione_disulfide,level 5,Peptides
Glutathione_disulfide,level 6,Peptides
Glutathione_disulfide,level 7,Peptides
Glutathione_disulfide,level 8,Peptides
Glycerophosphoric_acid,kingdom,Organic_compounds
Glycerophosphoric_acid,superclass,Lipids_and_lipid-like_molecules
Glycerophosphoric_acid,class,Glycerophospholipids
Glycerophosphoric_acid,subclass,Glycerophosphates
Glycerophosphoric_acid,level 5,Glycerophosphates
