,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
84,Amino Acid,RP,L-Kynurenine,,(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,YGPSJZOEDVAXAB-QMMMGPOBSA-N,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N
85,Internal Standard,RP,"L-Phenylalanine, 2H8",,,,
86,Internal Standard,RP,"L-Tryptophan, 2H3",,,,
87,Circadian,RP,Melatonin,,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,DRLFMBDRBRZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
88,Vitamin B12,RP,Methylcobalamin,,"carbanide;cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl phosphate",ZFLASALABLFSNM-WYVZQNDMSA-L,[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3]
89,Phytohormone,RP,Methyl indole-3-carboxylate,,methyl 1H-indole-3-carboxylate,QXAUTQFAWKKNLM-UHFFFAOYSA-N,COC(=O)C1=CNC2=CC=CC=C21
90,Sulfur,RP,Methylthioadenosine,,"(2R,3R,4S,5S)-2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",WUUGFSXJNOTRMR-IOSLPCCCSA-N,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
91,Antibiotic,RP,Monesin,,"(2S,3S,4R)-4-[(2S,7S,8R,9S)-2-[(2R,5S)-5-ethyl-5-[(2R,3S,5R)-5-[(2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-3-methyloxolan-2-yl]oxolan-2-yl]-7-hydroxy-2,8-dimethyl-1,10-dioxaspiro[4.5]decan-9-yl]-3-methoxy-2-methylpentanoic acid",GAOZTHIDHYLHMS-QVJPPVPRSA-N,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C
92,New2,RP,Ophthalmic acid,,(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxobutan-2-yl]amino]-5-oxopentanoic acid,JCMUOFQHZLPHQP-BQBZGAKWSA-N,CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
93,Lignin,RP,p-Coumaric acid,,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,C1=CC(=CC=C1C=CC(=O)O)O
